06-04-2017;3034;15909;11,76;8;451;417;29;8;1877
07-04-2017;3556;23344;17,25;12;463;381;81;74;2495
08-04-2017;2883;14633;10,81;13;681;253;51;36;1592
09-04-2017;5882;31589;23,34;28;633;253;61;64;1822
10-04-2017;3090;17501;12,93;7;593;299;51;51;1871
11-04-2017;3008;15623;11,6;18;1021;349;38;32;1809
12-04-2017;3759;27245;20,13;28;489;359;80;93;2694
13-04-2017;3045;14883;11;29;537;296;53;41;1813
14-04-2017;2802;13990;10,34;20;670;212;36;52;1464
15-04-2017;2823;11854;8,97;22;1080;297;15;48;1482
16-04-2017;3008;12016;8,88;9;497;328;69;39;1830
17-04-2017;2434;4131;3,05;5;498;351;0;0;1156
18-04-2017;2325;5286;3,91;23;847;205;15;4;898
19-04-2017;2353;6542;4,83;25;1213;187;15;10;911
20-04-2017;2372;6165;4,56;31;752;231;4;7;966
21-04-2017;2681;9261;6,84;12;717;295;39;11;1396
22-04-2017;2890;11257;8,32;13;600;361;44;19;1698
23-04-2017;2827;11418;8,81;33;521;344;33;22;1605
24-04-2017;2356;5848;4,32;13;726;248;0;0;957
25-04-2017;2347;6240;4,61;17;837;220;8;0;924
26-04-2017;2282;4718;3,49;17;1204;214;0;0;843
27-04-2017;2753;10072;7,44;45;651;320;28;8;1481
28-04-2017;2572;7737;5,72;19;741;311;5;5;1259
29-04-2017;2586;6313;4,67;7;587;322;35;0;1315
30-04-2017;3040;13311;10,15;18;464;384;29;37;1878
01-05-2017;3123;14479;11,07;25;450;342;66;37;1955
02-05-2017;2330;6472;5,13;19;835;199;4;16;897
03-05-2017;2470;6411;4,74;13;734;288;11;9;1141
04-05-2017;2429;7662;5,66;11;781;265;6;1;1059
05-05-2017;2596;8918;6,59;23;661;304;14;1;1280
06-05-2017;3022;13317;9,84;22;655;318;30;49;1798
07-05-2017;3440;17446;12,92;52;424;523;25;34;2434
08-05-2017;2401;5920;4,37;9;741;282;9;0;1052
09-05-2017;2417;7435;5,49;8;735;265;9;0;1049
10-05-2017;2422;9381;6,96;31;780;163;32;18;982
11-05-2017;2755;12857;9,55;41;640;323;18;25;1493
12-05-2017;2370;7828;5,92;25;865;146;13;34;906
13-05-2017;2736;8645;6,39;19;555;420;13;0;1554
14-05-2017;2775;12074;8,92;2;515;376;34;5;1570
15-05-2017;2831;12183;9,17;18;692;317;31;20;1573
16-05-2017;2469;8771;6,61;16;791;226;5;31;1087
17-05-2017;2161;4522;3,34;9;818;156;14;5;676
18-05-2017;2213;5575;4,12;11;853;192;0;0;748
19-05-2017;2592;8379;6,19;10;729;287;27;8;1280
20-05-2017;2945;8759;6,47;4;476;478;15;8;1843
21-05-2017;2699;8803;6,51;8;616;340;21;3;1434
22-05-2017;2429;7046;5,21;8;773;255;21;0;1063
23-05-2017;2842;12604;9,31;14;631;337;41;25;1625
24-05-2017;2757;10126;7,48;10;636;331;30;8;1500
25-05-2017;3048;11097;8,2;4;451;443;38;5;1925
26-05-2017;2563;8137;6,01;15;692;333;11;0;1277
27-05-2017;2313;6297;4,92;14;775;213;4;19;899
28-05-2017;2859;10037;7,42;15;490;307;78;18;1642
29-05-2017;2322;5261;3,89;7;792;262;0;0;939
30-05-2017;2300;5498;4,06;14;839;225;0;0;874
31-05-2017;2517;10552;7,8;25;778;189;19;36;1113
01-06-2017;2163;4577;3,38;12;794;166;0;0;668
02-06-2017;2446;8059;6,1;24;816;199;7;22;1023
03-06-2017;2364;5404;3,99;3;1170;249;9;7;985
04-06-2017;2276;4995;3,69;6;656;251;0;0;881
05-06-2017;2684;8932;6,71;11;681;287;14;24;1376
06-06-2017;2414;6457;4,86;14;780;215;8;21;1010
07-06-2017;2617;10056;7,54;19;748;241;12;27;1256
08-06-2017;2531;9578;7,35;24;716;233;8;24;1149
09-06-2017;2803;11464;8,73;22;685;305;14;26;1518
10-06-2017;3062;11847;8,75;6;438;490;20;10;1983
11-06-2017;2519;5212;3,85;6;579;339;7;2;1236
12-06-2017;2784;13996;10,54;38;737;239;39;26;1450
13-06-2017;2758;11114;8,44;30;732;288;11;24;1447
14-06-2017;2504;8130;6,15;17;629;227;22;17;1126
15-06-2017;2629;10293;7,61;66;758;243;32;16;1278
16-06-2017;2622;9456;6,99;17;600;276;19;16;1297
17-06-2017;2768;12363;9,14;5;638;237;20;26;1304
18-06-2017;2544;8990;7,05;7;703;239;11;18;1168
19-06-2017;2638;11352;8,39;36;634;220;42;25;1285
20-06-2017;2334;5656;4,18;16;740;256;6;2;954
21-06-2017;5081;15293;11,3;122;690;277;32;38;1531
22-06-2017;2321;5777;4,27;13;782;223;10;0;904
23-06-2017;2559;8666;6,43;9;605;261;7;35;1225
24-06-2017;2779;8810;6,51;31;617;309;51;14;1528
25-06-2017;2811;8257;6,1;6;530;367;55;7;1625
26-06-2017;2353;6530;4,83;13;774;186;19;15;921
27-06-2017;2522;10545;7,85;33;748;190;23;23;1109
28-06-2017;2557;8240;6,09;15;714;233;37;13;1199
29-06-2017;2675;10257;7,58;20;754;259;19;13;1326
30-06-2017;2769;8968;6,63;21;656;329;22;6;1497
01-07-2017;3027;10885;8,04;10;517;409;51;18;1898
02-07-2017;3262;14032;10,37;68;514;334;63;70;2120
03-07-2017;3351;14824;10,96;10;910;401;102;27;2283
04-07-2017;3302;14065;10,39;71;923;414;55;48;2219
05-07-2017;2906;9459;6,99;5;1036;326;60;18;1690
06-07-2017;3114;11654;8,61;11;920;461;53;6;2033
07-07-2017;3218;13685;10,11;8;936;394;78;26;2112
08-07-2017;3759;20181;14,91;74;375;355;175;63;2765
09-07-2017;3091;11789;8,71;5;446;445;40;10;1982
10-07-2017;3439;15220;11,25;7;429;394;120;31;2388
11-07-2017;3689;17844;13,19;4;354;370;165;45;2679
12-07-2017;3497;17542;12,96;4;306;408;158;20;2495
13-07-2017;2826;9152;6,76;23;471;366;39;7;1620
14-07-2017;2942;11382;8,41;42;408;443;26;4;1807
15-07-2017;2787;9120;6,74;22;481;398;4;9;1579
16-07-2017;2800;10311;7,62;47;522;382;22;19;1606
17-07-2017;3126;14250;10,53;61;498;346;88;25;1975
18-07-2017;3710;19197;14,19;132;352;428;153;40;2749
19-07-2017;3862;22475;16,61;97;321;443;236;30;3004
20-07-2017;3104;12806;9,46;129;431;376;126;4;2008
21-07-2017;3269;13575;10,03;71;487;436;107;8;2226
22-07-2017;2398;7773;5,74;25;1212;219;5;4;976
23-07-2017;2212;4581;3,39;11;1241;185;12;2;756
24-07-2017;3349;14411;10,65;40;820;449;101;25;2334
25-07-2017;2811;10262;7,58;30;529;285;114;13;1605
26-07-2017;4166;25511;18,85;127;210;528;206;45;3391
27-07-2017;3681;17731;13,1;97;317;552;126;16;2805
28-07-2017;2878;10729;7,93;37;508;351;56;12;1680
29-07-2017;3776;16751;12,38;29;230;608;113;21;2957
30-07-2017;3147;13167;9,73;49;420;452;54;16;2070
31-07-2017;3240;14036;10,37;31;445;405;96;22;2164
01-08-2017;3033;12650;9,35;37;502;391;62;28;1908
