Päiväys ja klo;Käyttö yhteensä (Wh)
 1.1.2018 0:00;2590
 1.1.2018 1:00;2530
 1.1.2018 2:00;1700
 1.1.2018 3:00;2340
 1.1.2018 4:00;1800
 1.1.2018 5:00;2850
 1.1.2018 6:00;2360
 1.1.2018 7:00;2940
 1.1.2018 8:00;2360
 1.1.2018 9:00;3030
 1.1.2018 10:00;2470
 1.1.2018 11:00;3220
 1.1.2018 12:00;2520
 1.1.2018 13:00;4660
 1.1.2018 14:00;3140
 1.1.2018 15:00;3130
 1.1.2018 16:00;3780
 1.1.2018 17:00;3640
 1.1.2018 18:00;2360
 1.1.2018 19:00;2240
 1.1.2018 20:00;2650
 1.1.2018 21:00;4170
 1.1.2018 22:00;4140
 1.1.2018 23:00;2740
 2.1.2018 0:00;3150
 2.1.2018 1:00;2660
 2.1.2018 2:00;3480
 2.1.2018 3:00;2690
 2.1.2018 4:00;3270
 2.1.2018 5:00;2640
 2.1.2018 6:00;3020
 2.1.2018 7:00;1880
 2.1.2018 8:00;2620
 2.1.2018 9:00;2170
 2.1.2018 10:00;2460
 2.1.2018 11:00;2770
 2.1.2018 12:00;3110
 2.1.2018 13:00;3440
 2.1.2018 14:00;2970
 2.1.2018 15:00;3520
 2.1.2018 16:00;2650
 2.1.2018 17:00;3140
 2.1.2018 18:00;2710
 2.1.2018 19:00;3610
 2.1.2018 20:00;2570
 2.1.2018 21:00;4600
 2.1.2018 22:00;3760
 2.1.2018 23:00;2650
 3.1.2018 0:00;4670
 3.1.2018 1:00;2780
 3.1.2018 2:00;3000
 3.1.2018 3:00;2840
 3.1.2018 4:00;3040
 3.1.2018 5:00;2730
 3.1.2018 6:00;3020
 3.1.2018 7:00;3490
 3.1.2018 8:00;3870
 3.1.2018 9:00;1960
 3.1.2018 10:00;2470
 3.1.2018 11:00;2280
 3.1.2018 12:00;3830
 3.1.2018 13:00;3740
 3.1.2018 14:00;3210
 3.1.2018 15:00;3570
 3.1.2018 16:00;3710
 3.1.2018 17:00;3990
 3.1.2018 18:00;3360
 3.1.2018 19:00;2340
 3.1.2018 20:00;2860
 3.1.2018 21:00;4330
 3.1.2018 22:00;4170
 3.1.2018 23:00;4800
 4.1.2018 0:00;4800
 4.1.2018 1:00;4480
 4.1.2018 2:00;3180
 4.1.2018 3:00;3020
 4.1.2018 4:00;3130
 4.1.2018 5:00;3110
 4.1.2018 6:00;3670
 4.1.2018 7:00;3930
 4.1.2018 8:00;2620
 4.1.2018 9:00;2300
 4.1.2018 10:00;2920
 4.1.2018 11:00;2980
 4.1.2018 12:00;2590
 4.1.2018 13:00;3600
 4.1.2018 14:00;3310
 4.1.2018 15:00;4020
 4.1.2018 16:00;3840
 4.1.2018 17:00;4110
 4.1.2018 18:00;3560
 4.1.2018 19:00;3580
 4.1.2018 20:00;4340
 4.1.2018 21:00;4990
 4.1.2018 22:00;4060
 4.1.2018 23:00;2330
 5.1.2018 0:00;1970
 5.1.2018 1:00;2170
 5.1.2018 2:00;2700
 5.1.2018 3:00;2810
 5.1.2018 4:00;2720
 5.1.2018 5:00;2940
 5.1.2018 6:00;2990
 5.1.2018 7:00;2990
 5.1.2018 8:00;3020
 5.1.2018 9:00;2990
 5.1.2018 10:00;3310
 5.1.2018 11:00;2560
 5.1.2018 12:00;2240
 5.1.2018 13:00;2220
 5.1.2018 14:00;2140
 5.1.2018 15:00;2750
 5.1.2018 16:00;2720
 5.1.2018 17:00;3160
 5.1.2018 18:00;3120
 5.1.2018 19:00;3250
 5.1.2018 20:00;3500
 5.1.2018 21:00;5190
 5.1.2018 22:00;4810
 5.1.2018 23:00;3340
 6.1.2018 0:00;2500
 6.1.2018 1:00;2420
 6.1.2018 2:00;2190
 6.1.2018 3:00;3790
 6.1.2018 4:00;4460
 6.1.2018 5:00;5000
 6.1.2018 6:00;3250
 6.1.2018 7:00;2820
 6.1.2018 8:00;3110
 6.1.2018 9:00;2880
 6.1.2018 10:00;3080
 6.1.2018 11:00;3030
 6.1.2018 12:00;3120
 6.1.2018 13:00;3310
 6.1.2018 14:00;3160
 6.1.2018 15:00;2790
 6.1.2018 16:00;2420
 6.1.2018 17:00;2350
 6.1.2018 18:00;2670
 6.1.2018 19:00;3230
 6.1.2018 20:00;3580
 6.1.2018 21:00;5330
 6.1.2018 22:00;4210
 6.1.2018 23:00;3340
 7.1.2018 0:00;3250
 7.1.2018 1:00;3070
 7.1.2018 2:00;3260
 7.1.2018 3:00;4120
 7.1.2018 4:00;3400
 7.1.2018 5:00;3310
 7.1.2018 6:00;2690
 7.1.2018 7:00;2720
 7.1.2018 8:00;2750
 7.1.2018 9:00;3470
 7.1.2018 10:00;3860
 7.1.2018 11:00;3970
 7.1.2018 12:00;3910
 7.1.2018 13:00;6130
 7.1.2018 14:00;3460
 7.1.2018 15:00;4180
 7.1.2018 16:00;4250
 7.1.2018 17:00;4600
 7.1.2018 18:00;4810
 7.1.2018 19:00;5130
 7.1.2018 20:00;3960
 7.1.2018 21:00;5690
 7.1.2018 22:00;5170
 7.1.2018 23:00;3490
 8.1.2018 0:00;3630
 8.1.2018 1:00;3170
 8.1.2018 2:00;3040
 8.1.2018 3:00;3320
 8.1.2018 4:00;3190
 8.1.2018 5:00;3200
 8.1.2018 6:00;4600
 8.1.2018 7:00;4920
 8.1.2018 8:00;2800
 8.1.2018 9:00;2180
 8.1.2018 10:00;2820
 8.1.2018 11:00;2990
 8.1.2018 12:00;3520
 8.1.2018 13:00;3100
 8.1.2018 14:00;3470
 8.1.2018 15:00;3290
 8.1.2018 16:00;3330
 8.1.2018 17:00;3980
 8.1.2018 18:00;4150
 8.1.2018 19:00;3750
 8.1.2018 20:00;4290
 8.1.2018 21:00;5940
 8.1.2018 22:00;5460
 8.1.2018 23:00;3540
